GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
0022201227,1610612758,SAC,Sacramento,203084,Harrison Barnes,F,,17:34,17,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1631099,Keegan Murray,F,,25:48,14,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,C,,18:41,14,4,4,0,1,0,2,6,0,0,0,1,1,2,2,2
0022201227,1610612758,SAC,Sacramento,1628989,Kevin Huerter,G,,21:17,12,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,G,,17:34,13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1628408,PJ Dozier,,,24:21,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1630556,Kessler Edwards,,,9:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1628370,Malik Monk,,,17:42,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1626168,Trey Lyles,,,19:41,2,8,3,5,1,2,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,203458,Alex Len,,,12:17,0,4,4,0,1,0,2,4,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1629056,Terence Davis,,,18:05,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1631165,Keon Ellis,,,13:23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1629002,Chimezie Metu,,,11:51,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1626158,Richaun Holmes,,,7:49,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612758,SAC,Sacramento,1629674,Neemias Queta,,,4:11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1631212,Peyton Watson,F,,26:19,13,8,5,3,2,0,0,0,1,0,1,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1628427,Vlatko Čančar,F,,21:33,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,201599,DeAndre Jordan,C,,26:47,6,3,2,1,4,0,3,6,0,0,0,1,1,2,2,2
0022201227,1610612743,DEN,Denver,1631128,Christian Braun,G,,22:49,10,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1628971,Bruce Brown,G,,31:45,21,5,3,2,3,0,1,2,0,1,1,0,0,0,0,0
0022201227,1610612743,DEN,Denver,202704,Reggie Jackson,,,25:11,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1628418,Thomas Bryant,,,21:13,12,5,5,0,0,0,1,2,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1630192,Zeke Nnaji,,,25:54,18,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,202397,Ish Smith,,,23:29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0022201227,1610612743,DEN,Denver,1631298,Jack White,,,15:00,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
0022201226,1610612763,MEM,Memphis,1631223,David Roddy,F,,42:34,14,5,2,3,0,0,1,3,0,0,0,0,0,0,0,0
0022201226,1610612763,MEM,Memphis,1631246,Vince Williams Jr.,F,,48:00,15,8,3,5,1,1,1,2,1,0,1,0,0,0,0,0
0022201226,1610612763,MEM,Memphis,1631254,Kenneth Lofton Jr.,C,,40:21,42,13,9,4,1,0,4,8,1,0,1,0,2,2,2,2
0022201226,1610612763,MEM,Memphis,1630533,Ziaire Williams,G,,32:39,24,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
0022201226,1610612763,MEM,Memphis,1629723,John Konchar,G,,35:39,2,7,4,3,4,0,1,3,0,0,0,0,0,0,0,0
0022201226,1610612763,MEM,Memphis,1631367,Jacob Gilyard,,,40:47,3,1,1,0,4,0,0,0,0,1,1,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,F,,45:11,22,16,8,8,1,0,0,0,1,0,1,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1630526,Jeremiah Robinson-Earl,F,,39:46,10,16,11,5,0,0,1,2,0,0,0,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1630846,Olivier Sarr,C,,42:13,22,12,8,4,2,0,9,19,0,0,0,0,2,2,2,2
0022201226,1610612760,OKC,Oklahoma City,1630544,Tre Mann,G,,46:44,24,5,1,4,1,0,0,0,0,1,1,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1630215,Jared Butler,G,,45:37,25,4,0,4,1,1,0,0,0,1,1,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,,,8:00,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0022201226,1610612760,OKC,Oklahoma City,1630322,Lindy Waters III,,,12:29,6,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
0022201220,1610612754,IND,Indiana,1630174,Aaron Nesmith,F,,24:30,14,7,7,0,1,0,0,0,0,0,0,0,2,1,0,2
0022201220,1610612754,IND,Indiana,1629670,Jordan Nwora,F,,23:20,19,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0
0022201220,1610612754,IND,Indiana,1630543,Isaiah Jackson,C,,25:40,6,8,6,2,1,0,3,6,1,1,2,0,3,2,0,3
