GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
0022201227,1610612758,Kings,SAC,Sacramento,240.000000:00,95,41,24,17,13,2,5,13,0,0,0,1,1,2,2,2
0022201227,1610612743,Nuggets,DEN,Denver,240.000000:00,109,37,21,16,15,0,5,10,1,1,2,1,1,2,2,2
0022201226,1610612763,Grizzlies,MEM,Memphis,240.000000:00,100,41,22,19,10,1,7,16,2,1,3,0,2,2,2,2
0022201226,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,115,59,33,26,5,1,11,23,1,2,3,0,2,2,2,2
0022201220,1610612754,Pacers,IND,Indiana,240.000000:00,141,42,30,12,13,0,7,15,2,3,5,0,11,9,0,11
0022201220,1610612752,Knicks,NYK,New York,240.000000:00,136,40,26,14,14,0,8,20,1,3,4,1,2,1,0,3
0022201216,1610612737,Hawks,ATL,Atlanta,240.000000:00,114,46,17,29,20,2,10,23,4,5,9,2,8,10,6,10
0022201216,1610612738,Celtics,BOS,Boston,240.000000:00,120,35,21,14,12,0,13,37,4,3,7,1,8,8,5,9
0022201219,1610612753,Magic,ORL,Orlando,240.000000:00,110,28,8,20,25,0,5,13,1,1,2,1,1,2,2,2
0022201219,1610612748,Heat,MIA,Miami,240.000000:00,123,33,19,14,17,1,12,29,4,2,6,1,0,1,1,1
0022201221,1610612749,Bucks,MIL,Milwaukee,240.000000:00,105,46,30,16,10,0,12,26,3,0,3,1,3,4,3,4
0022201221,1610612761,Raptors,TOR,Toronto,240.000000:00,121,52,33,19,14,0,10,24,1,3,4,0,2,2,0,2
0022201217,1610612755,76ers,PHI,Philadelphia,240.000000:00,134,46,27,19,17,1,9,22,2,2,4,2,4,6,3,6
0022201217,1610612751,Nets,BKN,Brooklyn,240.000000:00,105,51,35,16,12,1,15,35,3,2,5,3,3,6,4,6
0022201228,1610612762,Jazz,UTA,Utah,240.000000:00,117,60,37,23,8,0,9,21,2,2,4,0,3,3,2,3
0022201228,1610612747,Lakers,LAL,Los Angeles,240.000000:00,128,60,43,17,17,0,11,28,1,4,5,0,7,7,2,7
0022201230,1610612744,Warriors,GSW,Golden State,240.000000:00,157,59,37,22,14,0,8,21,2,4,6,4,4,7,5,8
0022201230,1610612757,Trail Blazers,POR,Portland,240.000000:00,101,37,11,26,16,0,5,10,3,1,4,2,3,5,2,5
0022201218,1610612766,Hornets,CHA,Charlotte,240.000000:00,106,48,32,16,15,0,13,28,1,0,1,0,5,5,1,5
0022201218,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,95,43,21,22,9,0,15,38,2,2,4,2,3,5,2,5
0022201229,1610612746,Clippers,LAC,LA,240.000000:00,119,43,30,13,15,0,8,16,4,1,5,0,6,3,0,6
0022201229,1610612756,Suns,PHX,Phoenix,240.000000:00,114,39,32,7,5,0,7,17,2,2,4,0,10,9,3,10
0022201222,1610612745,Rockets,HOU,Houston,240.000000:00,114,39,26,13,28,1,3,7,3,0,3,2,1,3,3,3
0022201222,1610612764,Wizards,WAS,Washington,240.000000:00,109,37,28,9,22,0,5,12,3,4,7,1,4,5,3,5
0022201223,1610612765,Pistons,DET,Detroit,240.000000:00,81,58,41,17,9,0,5,10,0,1,1,1,1,2,1,2
0022201223,1610612741,Bulls,CHI,Chicago,240.000000:00,103,56,35,21,23,0,9,19,0,4,4,4,5,7,7,9
0022201224,1610612759,Spurs,SAS,San Antonio,240.000000:00,138,43,21,22,5,0,2,4,3,2,5,0,0,0,0,0
0022201224,1610612742,Mavericks,DAL,Dallas,240.000000:00,117,49,29,20,13,0,7,15,1,1,2,0,4,4,2,4
0022201225,1610612740,Pelicans,NOP,New Orleans,240.000000:00,108,46,28,18,20,0,18,36,2,1,3,2,3,4,4,5
0022201225,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,113,50,43,7,24,0,9,20,5,2,7,1,0,1,0,1
0022201215,1610612757,Trail Blazers,POR,Portland,240.000000:00,125,42,24,18,17,0,8,20,0,2,2,0,4,4,1,4
0022201215,1610612746,Clippers,LAC,LA,240.000000:00,136,43,24,19,10,0,8,17,1,3,4,1,0,1,0,1
0022201214,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,151,59,39,20,16,1,12,29,4,2,6,1,0,1,1,1
0022201214,1610612759,Spurs,SAS,San Antonio,240.000000:00,131,55,31,24,18,1,15,31,2,3,5,0,3,3,0,3
0022201213,1610612743,Nuggets,DEN,Denver,240.000000:00,114,54,33,21,10,1,4,10,0,2,2,0,4,4,2,4
0022201213,1610612762,Jazz,UTA,Utah,240.000000:00,118,45,24,21,10,2,8,19,2,2,4,1,4,5,5,5
0022201212,1610612756,Suns,PHX,Phoenix,240.000000:00,107,50,30,20,12,0,15,33,0,0,0,0,2,2,0,2
0022201212,1610612747,Lakers,LAL,Los Angeles,240.000000:00,121,42,28,14,9,0,14,31,3,6,9,0,6,6,2,6
0022201203,1610612765,Pistons,DET,Detroit,240.000000:00,122,40,25,15,12,2,8,20,3,3,6,1,3,3,1,4
0022201203,1610612754,Pacers,IND,Indiana,240.000000:00,115,50,29,21,16,1,8,19,2,3,5,4,6,10,6,10
0022201206,1610612761,Raptors,TOR,Toronto,240.000000:00,102,47,19,28,18,0,11,25,1,4,5,2,5,7,7,7
0022201206,1610612738,Celtics,BOS,Boston,240.000000:00,121,52,39,13,5,0,7,14,8,4,12,0,4,4,3,4
0022201211,1610612744,Warriors,GSW,Golden State,240.000000:00,119,61,32,29,12,0,9,22,2,4,6,2,10,12,4,12
0022201211,1610612758,Kings,SAC,Sacramento,240.000000:00,97,36,18,18,20,2,4,9,5,1,6,0,4,4,0,4
0022201205,1610612755,76ers,PHI,Philadelphia,265.000000:00,136,41,24,17,13,2,8,19,3,3,6,2,3,5,4,5
0022201205,1610612737,Hawks,ATL,Atlanta,265.000000:00,131,57,45,12,19,2,11,24,1,2,3,0,4,4,4,4
0022201208,1610612763,Grizzlies,MEM,Memphis,240.000000:00,137,57,26,31,13,1,8,19,4,2,6,0,1,1,1,1
0022201208,1610612749,Bucks,MIL,Milwaukee,240.000000:00,114,36,25,11,15,1,8,21,7,1,8,1,2,3,2,3
0022201209,1610612752,Knicks,NYK,New York,240.000000:00,105,41,26,15,7,0,8,20,1,2,3,1,1,2,1,2
0022201209,1610612740,Pelicans,NOP,New Orleans,240.000000:00,113,47,26,21,11,0,10,22,1,1,2,1,5,6,1,6
0022201207,1610612753,Magic,ORL,Orlando,240.000000:00,84,47,22,25,11,0,1,2,4,2,6,0,2,2,1,2
0022201207,1610612751,Nets,BKN,Brooklyn,240.000000:00,101,48,28,20,11,0,5,11,3,5,8,0,1,1,0,1
0022201204,1610612748,Heat,MIA,Miami,240.000000:00,108,39,26,13,18,0,8,20,2,2,4,3,1,4,3,4
0022201204,1610612764,Wizards,WAS,Washington,240.000000:00,114,47,25,22,11,0,9,19,3,4,7,4,2,6,4,6
0022201210,1610612741,Bulls,CHI,Chicago,240.000000:00,115,51,18,33,13,0,7,14,3,5,8,1,3,4,1,4
0022201210,1610612742,Mavericks,DAL,Dallas,240.000000:00,112,36,27,9,14,1,4,10,4,4,8,0,3,3,2,3
0022201202,1610612745,Rockets,HOU,Houston,240.000000:00,112,36,20,16,19,1,7,16,1,4,5,2,2,4,4,4
0022201202,1610612766,Hornets,CHA,Charlotte,240.000000:00,109,40,30,10,16,0,10,27,0,4,4,0,5,5,1,5
0022201200,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,114,33,21,12,16,3,4,10,3,2,5,1,17,17,4,18
0022201200,1610612762,Jazz,UTA,Utah,240.000000:00,98,37,20,17,17,0,13,27,0,2,2,0,4,4,0,4
0022201201,1610612743,Nuggets,DEN,Denver,240.000000:00,115,49,28,21,7,0,10,22,3,3,6,1,0,1,1,1
0022201201,1610612756,Suns,PHX,Phoenix,240.000000:00,119,50,37,13,9,0,4,10,0,0,0,0,4,4,3,4
0022201199,1610612757,Trail Blazers,POR,Portland,240.000000:00,127,48,35,13,14,0,7,15,3,1,4,0,4,4,2,4
0022201199,1610612759,Spurs,SAS,San Antonio,240.000000:00,129,48,37,11,19,0,3,6,4,0,4,1,2,3,2,3
0022201198,1610612748,Heat,MIA,Miami,240.000000:00,129,23,11,12,12,6,10,27,2,4,6,0,4,3,2,4
0022201198,1610612755,76ers,PHI,Philadelphia,240.000000:00,101,33,17,16,12,1,7,15,1,2,3,1,2,3,1,3
0022201197,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,118,61,31,30,26,2,15,36,5,8,13,2,6,7,3,8
0022201197,1610612753,Magic,ORL,Orlando,240.000000:00,94,47,22,25,20,0,8,20,3,2,5,0,7,7,3,7
0022201193,1610612741,Bulls,CHI,Chicago,240.000000:00,92,56,22,34,10,0,6,14,0,3,3,2,2,3,1,4
0022201193,1610612749,Bucks,MIL,Milwaukee,240.000000:00,105,56,38,18,14,1,5,14,2,3,5,0,1,1,0,1
0022201196,1610612747,Lakers,LAL,Los Angeles,240.000000:00,118,39,24,15,20,0,8,20,1,2,3,1,4,5,4,5
0022201196,1610612746,Clippers,LAC,LA,240.000000:00,125,37,22,15,11,0,9,19,0,0,0,1,4,5,2,5
0022201190,1610612752,Knicks,NYK,New York,240.000000:00,138,48,29,19,19,0,0,0,2,4,6,2,5,5,4,7
0022201190,1610612754,Pacers,IND,Indiana,240.000000:00,129,41,20,21,15,1,2,4,4,4,8,1,3,4,2,4
0022201195,1610612758,Kings,SAC,Sacramento,240.000000:00,119,40,20,20,9,0,9,20,4,2,6,0,2,2,0,2
0022201195,1610612742,Mavericks,DAL,Dallas,240.000000:00,123,49,36,13,8,0,11,25,2,1,3,0,6,6,2,6
0022201194,1610612763,Grizzlies,MEM,Memphis,265.000000:00,131,40,32,8,25,0,10,23,1,3,4,1,4,5,3,5
0022201194,1610612740,Pelicans,NOP,New Orleans,265.000000:00,138,53,37,16,20,0,7,16,3,1,4,0,5,5,1,5
0022201191,1610612764,Wizards,WAS,Washington,240.000000:00,116,41,25,16,15,0,13,27,3,1,4,1,2,3,3,3
0022201191,1610612737,Hawks,ATL,Atlanta,240.000000:00,134,33,22,11,13,0,7,17,3,2,5,0,2,2,1,2
0022201189,1610612751,Nets,BKN,Brooklyn,240.000000:00,123,47,27,20,17,0,6,15,3,3,6,5,6,11,6,11
0022201189,1610612765,Pistons,DET,Detroit,240.000000:00,108,43,16,27,20,1,8,19,6,1,7,2,8,8,3,10
0022201192,1610612761,Raptors,TOR,Toronto,240.000000:00,93,59,37,22,14,0,4,9,3,3,6,2,8,10,7,10
0022201192,1610612738,Celtics,BOS,Boston,240.000000:00,97,51,32,19,10,0,6,14,3,2,5,1,7,7,4,8
0022201177,1610612748,Heat,MIA,Miami,240.000000:00,118,38,24,14,16,1,6,14,0,3,3,1,8,9,3,9
0022201177,1610612765,Pistons,DET,Detroit,240.000000:00,105,35,19,16,10,0,5,11,2,0,2,0,2,2,1,2
0022201176,1610612761,Raptors,TOR,Toronto,240.000000:00,120,49,27,22,14,0,7,16,2,1,3,1,2,3,2,3
0022201176,1610612766,Hornets,CHA,Charlotte,240.000000:00,100,44,23,21,10,1,6,14,4,2,6,0,7,7,3,7
0022201178,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,117,54,39,15,13,3,7,16,1,1,2,1,2,3,2,3
0022201178,1610612753,Magic,ORL,Orlando,240.000000:00,113,38,24,14,10,0,11,22,3,1,4,1,2,3,1,3
0022201184,1610612757,Trail Blazers,POR,Portland,240.000000:00,109,43,17,26,11,0,11,25,4,5,9,0,4,4,2,4
0022201184,1610612763,Grizzlies,MEM,Memphis,240.000000:00,119,57,30,27,9,0,10,23,1,0,1,0,5,5,0,5
0022201186,1610612747,Lakers,LAL,Los Angeles,265.000000:00,135,38,25,13,16,3,10,21,3,1,4,1,9,10,5,10
0022201186,1610612762,Jazz,UTA,Utah,265.000000:00,133,42,30,12,14,1,11,25,4,2,6,1,11,10,2,12
0022201187,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,125,46,25,21,20,1,9,21,4,2,6,0,2,2,2,2
0022201187,1610612744,Warriors,GSW,Golden State,240.000000:00,136,56,40,16,18,1,12,32,3,1,4,0,5,5,3,5
0022201179,1610612749,Bucks,MIL,Milwaukee,240.000000:00,140,50,39,11,9,0,5,11,2,4,6,5,7,10,5,12
0022201179,1610612764,Wizards,WAS,Washington,240.000000:00,128,50,27,23,10,0,18,43,2,2,4,0,19,11,7,19
0022201182,1610612737,Hawks,ATL,Atlanta,240.000000:00,123,40,31,9,8,1,4,9,3,3,6,0,2,2,1,2
0022201182,1610612741,Bulls,CHI,Chicago,240.000000:00,105,48,25,23,13,1,3,6,0,3,3,2,2,4,3,4
0022201188,1610612759,Spurs,SAS,San Antonio,240.000000:00,94,43,26,17,13,1,11,25,1,1,2,2,6,8,5,8
0022201188,1610612756,Suns,PHX,Phoenix,240.000000:00,115,49,32,17,10,0,11,23,2,2,4,1,5,6,2,6
0022201181,1610612738,Celtics,BOS,Boston,240.000000:00,101,52,34,18,5,0,8,18,5,0,5,1,3,3,1,4
0022201181,1610612755,76ers,PHI,Philadelphia,240.000000:00,103,47,26,21,7,1,4,12,2,3,5,0,5,5,1,5
0022201180,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,107,37,24,13,9,0,9,21,1,2,3,3,5,8,5,8
0022201180,1610612751,Nets,BKN,Brooklyn,240.000000:00,102,45,34,11,7,0,13,28,2,1,3,1,4,5,3,5
0022201183,1610612743,Nuggets,DEN,Denver,240.000000:00,103,42,28,14,12,1,7,17,4,2,6,1,1,2,2,2
0022201183,1610612745,Rockets,HOU,Houston,240.000000:00,124,39,22,17,13,0,6,14,4,4,8,4,5,9,5,9
0022201185,1610612758,Kings,SAC,Sacramento,240.000000:00,121,46,34,12,13,1,10,23,3,3,6,4,5,8,5,9
0022201185,1610612740,Pelicans,NOP,New Orleans,240.000000:00,103,44,32,12,12,0,11,22,2,2,4,2,5,4,2,7
0022201171,1610612747,Lakers,LAL,Los Angeles,240.000000:00,134,58,37,21,12,0,11,27,0,3,3,3,7,9,4,10
0022201171,1610612745,Rockets,HOU,Houston,240.000000:00,109,42,26,16,11,0,11,26,6,2,8,2,1,3,1,3
0022201168,1610612764,Wizards,WAS,Washington,240.000000:00,109,43,24,19,13,1,8,18,2,3,5,1,9,7,2,10
0022201168,1610612752,Knicks,NYK,New York,240.000000:00,118,42,25,17,14,2,4,9,5,5,10,1,9,8,6,10
0022201174,1610612755,76ers,PHI,Philadelphia,240.000000:00,104,46,27,19,8,1,9,22,3,4,7,0,3,3,3,3
0022201174,1610612749,Bucks,MIL,Milwaukee,240.000000:00,117,56,36,20,18,0,6,15,1,4,5,0,1,1,1,1
0022201165,1610612763,Grizzlies,MEM,Memphis,240.000000:00,107,54,29,25,1,0,8,17,2,3,5,2,7,9,4,9
0022201165,1610612741,Bulls,CHI,Chicago,240.000000:00,128,47,26,21,16,2,10,22,3,1,4,0,6,6,1,6
0022201163,1610612761,Raptors,TOR,Toronto,240.000000:00,128,49,29,20,23,0,9,21,3,6,9,3,6,9,4,9
0022201163,1610612766,Hornets,CHA,Charlotte,240.000000:00,108,61,37,24,20,1,15,34,3,5,8,1,9,7,4,10
0022201164,1610612762,Jazz,UTA,Utah,240.000000:00,110,41,25,16,13,0,8,18,1,2,3,1,2,3,2,3
0022201164,1610612751,Nets,BKN,Brooklyn,240.000000:00,111,46,26,20,10,0,13,28,1,3,4,2,13,13,6,15
0022201173,1610612754,Pacers,IND,Indiana,240.000000:00,105,51,37,14,11,0,7,15,4,3,7,2,4,5,1,6
0022201173,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,115,51,39,12,15,1,7,17,4,4,8,2,10,10,5,12
0022201170,1610612759,Spurs,SAS,San Antonio,265.000000:00,142,63,32,31,16,0,13,29,3,3,6,0,6,6,3,6
0022201170,1610612758,Kings,SAC,Sacramento,265.000000:00,134,64,42,22,14,0,10,23,3,1,4,1,2,3,2,3
0022201169,1610612765,Pistons,DET,Detroit,240.000000:00,102,41,22,19,9,1,6,13,1,2,3,0,3,3,3,3
0022201169,1610612753,Magic,ORL,Orlando,240.000000:00,128,43,23,20,16,1,8,18,3,3,6,0,3,3,2,3
