GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200281,1610612741,CHI,Chicago,201942,DeMar DeRozan,DeMar,F,,42:16,12.0,27.0,0.444,0.0,1.0,0.0,6.0,8.0,0.75,0.0,4.0,4.0,6.0,2.0,0.0,2.0,5.0,30.0,6.0
22200281,1610612741,CHI,Chicago,1630172,Patrick Williams,Patrick,F,,31:58,4.0,7.0,0.571,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,2.0,2.0,4.0,11.0,7.0
22200281,1610612741,CHI,Chicago,202696,Nikola Vučević,Nikola,C,,39:59,6.0,14.0,0.429,1.0,7.0,0.143,0.0,0.0,0.0,3.0,10.0,13.0,3.0,0.0,0.0,2.0,1.0,13.0,5.0
22200281,1610612741,CHI,Chicago,203897,Zach LaVine,Zach,G,,45:03,9.0,23.0,0.391,4.0,11.0,0.364,5.0,6.0,0.833,2.0,3.0,5.0,5.0,1.0,0.0,4.0,4.0,27.0,-4.0
22200281,1610612741,CHI,Chicago,1630245,Ayo Dosunmu,Ayo,G,,25:00,3.0,7.0,0.429,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,4.0,7.0,-2.0
22200281,1610612741,CHI,Chicago,1629632,Coby White,Coby,,,17:47,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,-5.0
22200281,1610612741,CHI,Chicago,1627936,Alex Caruso,Alex,,,28:11,4.0,5.0,0.8,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,12.0,1.0
22200281,1610612741,CHI,Chicago,1629750,Javonte Green,Javonte,,,11:01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,-9.0
22200281,1610612741,CHI,Chicago,201609,Goran Dragic,Goran,,,10:44,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-10.0
22200281,1610612741,CHI,Chicago,203083,Andre Drummond,Andre,,,6:33,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,-10.0
