GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200610,1610612758,Kings,SAC,Sacramento,240:00,52,97,0.536,23,46,0.5,9,12,0.75,11,37,48,39,4,1,11,16,136,25
22200610,1610612753,Magic,ORL,Orlando,240:00,41,90,0.456,14,44,0.318,15,20,0.75,9,32,41,24,7,7,13,18,111,-25
22200608,1610612759,Spurs,SAS,San Antonio,240:00,44,97,0.454,11,32,0.344,14,16,0.875,12,30,42,28,8,1,14,24,113,-8
22200608,1610612763,Grizzlies,MEM,Memphis,240:00,45,91,0.495,11,26,0.423,20,35,0.571,11,39,50,26,9,7,13,15,121,8
22200609,1610612747,Lakers,LAL,Los Angeles,240:00,41,93,0.441,8,28,0.286,19,25,0.76,11,33,44,20,12,2,13,14,109,-13
22200609,1610612743,Nuggets,DEN,Denver,240:00,46,99,0.465,15,42,0.357,15,17,0.882,14,41,55,29,7,11,17,19,122,13
22200607,1610612752,Knicks,NYK,New York,240:00,38,100,0.38,11,41,0.268,20,22,0.909,18,30,48,16,8,1,7,14,107,-4
22200607,1610612749,Bucks,MIL,Milwaukee,240:00,39,89,0.438,19,49,0.388,14,18,0.778,12,36,48,27,3,5,14,17,111,4
22200605,1610612764,Wizards,WAS,Washington,240:00,42,82,0.512,14,34,0.412,14,18,0.778,7,30,37,26,5,1,20,25,112,-20
22200605,1610612740,Pelicans,NOP,New Orleans,240:00,49,93,0.527,10,26,0.385,24,31,0.774,12,32,44,24,9,5,9,21,132,20
22200606,1610612741,Bulls,CHI,Chicago,240:00,39,86,0.453,12,35,0.343,9,14,0.643,6,36,42,19,6,1,7,18,99,-8
22200606,1610612738,Celtics,BOS,Boston,240:00,38,87,0.437,11,41,0.268,20,21,0.952,9,41,50,25,2,7,9,12,107,8
22200596,1610612755,76ers,PHI,Philadelphia,240:00,46,94,0.489,11,37,0.297,20,23,0.87,14,30,44,24,12,5,13,17,123,12
22200596,1610612765,Pistons,DET,Detroit,240:00,44,87,0.506,8,23,0.348,15,18,0.833,10,33,43,25,9,2,23,20,111,-12
22200599,1610612748,Heat,MIA,Miami,240:00,38,92,0.413,13,35,0.371,12,17,0.706,16,25,41,22,8,4,11,17,101,-1
22200599,1610612751,Nets,BKN,Brooklyn,240:00,39,76,0.513,12,33,0.364,12,15,0.8,6,34,40,22,8,8,16,21,102,1
22200598,1610612754,Pacers,IND,Indiana,240:00,38,87,0.437,13,38,0.342,27,33,0.818,8,33,41,27,14,7,16,22,116,5
22200598,1610612766,Hornets,CHA,Charlotte,240:00,38,88,0.432,11,33,0.333,24,27,0.889,13,36,49,25,8,4,18,26,111,-5
22200604,1610612746,Clippers,LAC,LA,240:00,37,95,0.389,10,30,0.333,24,31,0.774,21,38,59,25,6,5,11,19,108,-4
22200604,1610612737,Hawks,ATL,Atlanta,240:00,44,89,0.494,8,26,0.308,16,20,0.8,7,36,43,22,7,9,9,18,112,4
22200602,1610612760,Thunder,OKC,Oklahoma City,240:00,46,95,0.484,12,28,0.429,16,20,0.8,13,35,48,27,5,8,8,26,120,11
22200602,1610612742,Mavericks,DAL,Dallas,240:00,31,73,0.425,14,39,0.359,33,42,0.786,8,31,39,21,3,1,12,19,109,-11
22200603,1610612756,Suns,PHX,Phoenix,240:00,37,84,0.44,14,26,0.538,10,11,0.909,6,30,36,22,7,2,16,14,98,-14
22200603,1610612739,Cavaliers,CLE,Cleveland,240:00,45,78,0.577,11,29,0.379,11,17,0.647,3,36,39,29,8,5,14,12,112,14
22200597,1610612761,Raptors,TOR,Toronto,240:00,40,91,0.44,12,31,0.387,25,29,0.862,13,28,41,26,12,8,10,28,117,12
22200597,1610612757,Trail Blazers,POR,Portland,240:00,34,76,0.447,9,30,0.3,28,37,0.757,10,32,42,19,5,4,22,24,105,-12
22200600,1610612762,Jazz,UTA,Utah,240:00,45,88,0.511,10,32,0.313,18,22,0.818,8,38,46,29,7,9,20,18,118,-5
22200600,1610612763,Grizzlies,MEM,Memphis,240:00,46,102,0.451,15,38,0.395,16,22,0.727,13,26,39,28,16,7,10,19,123,5
22200594,1610612753,Magic,ORL,Orlando,240:00,44,87,0.506,13,32,0.406,14,24,0.583,7,37,44,26,12,2,10,14,115,14
22200594,1610612744,Warriors,GSW,Golden State,240:00,33,88,0.375,18,58,0.31,17,21,0.81,11,38,49,26,7,1,16,17,101,-14
22200592,1610612762,Jazz,UTA,Utah,240:00,46,93,0.495,12,41,0.293,14,18,0.778,7,32,39,36,6,2,10,24,118,-8
22200592,1610612741,Bulls,CHI,Chicago,240:00,44,83,0.53,13,28,0.464,25,32,0.781,7,37,44,22,4,4,10,22,126,8
22200595,1610612758,Kings,SAC,Sacramento,240:00,45,86,0.523,14,32,0.438,30,37,0.811,13,21,34,25,5,4,14,26,134,-2
22200595,1610612747,Lakers,LAL,Los Angeles,240:00,50,82,0.61,9,21,0.429,27,33,0.818,10,28,38,26,4,3,17,25,136,2
22200593,1610612740,Pelicans,NOP,New Orleans,240:00,45,94,0.479,5,29,0.172,22,35,0.629,15,29,44,26,14,4,12,25,117,-10
22200593,1610612742,Mavericks,DAL,Dallas,240:00,42,74,0.568,13,29,0.448,30,38,0.789,5,34,39,23,5,7,17,24,127,10
22200590,1610612747,Lakers,LAL,Los Angeles,240:00,51,93,0.548,16,35,0.457,12,16,0.75,7,44,51,33,6,5,16,18,130,16
22200590,1610612737,Hawks,ATL,Atlanta,240:00,44,96,0.458,9,31,0.29,17,22,0.773,7,32,39,24,8,5,12,15,114,-16
22200584,1610612764,Wizards,WAS,Washington,240:00,38,79,0.481,7,24,0.292,27,36,0.75,11,35,46,21,6,2,20,18,110,-17
22200584,1610612760,Thunder,OKC,Oklahoma City,240:00,50,98,0.51,17,37,0.459,10,14,0.714,11,30,41,30,9,6,9,26,127,17
22200581,1610612755,76ers,PHI,Philadelphia,240:00,40,92,0.435,18,41,0.439,14,18,0.778,12,26,38,28,6,3,7,15,112,-14
22200581,1610612741,Bulls,CHI,Chicago,240:00,48,84,0.571,20,34,0.588,10,17,0.588,8,37,45,33,3,4,11,14,126,14
22200585,1610612759,Spurs,SAS,San Antonio,240:00,45,81,0.556,9,24,0.375,22,26,0.846,7,37,44,27,8,4,17,16,121,12
22200585,1610612765,Pistons,DET,Detroit,240:00,44,93,0.473,11,31,0.355,10,17,0.588,15,22,37,23,11,0,15,22,109,-12
22200582,1610612761,Raptors,TOR,Toronto,240:00,35,83,0.422,10,29,0.345,28,35,0.8,12,34,46,22,7,3,7,23,108,-4
22200582,1610612752,Knicks,NYK,New York,240:00,39,83,0.47,16,37,0.432,18,26,0.692,13,38,51,19,3,4,11,23,112,4
22200580,1610612757,Trail Blazers,POR,Portland,240:00,38,94,0.404,9,33,0.273,14,17,0.824,12,40,52,30,5,1,18,19,99,-9
22200580,1610612754,Pacers,IND,Indiana,240:00,38,84,0.452,7,25,0.28,25,28,0.893,4,37,41,22,11,6,12,22,108,9
22200587,1610612750,Timberwolves,MIN,Minnesota,240:00,46,81,0.568,13,35,0.371,23,29,0.793,10,35,45,28,4,7,19,22,128,13
22200587,1610612746,Clippers,LAC,LA,240:00,44,100,0.44,9,25,0.36,18,27,0.667,18,22,40,22,13,3,8,19,115,-13
22200588,1610612743,Nuggets,DEN,Denver,240:00,43,81,0.531,17,35,0.486,18,23,0.783,13,36,49,28,5,4,12,23,121,13
22200588,1610612739,Cavaliers,CLE,Cleveland,240:00,40,88,0.455,10,26,0.385,18,32,0.563,18,22,40,30,7,5,6,18,108,-13
22200583,1610612749,Bucks,MIL,Milwaukee,240:00,37,84,0.44,20,48,0.417,15,24,0.625,12,33,45,22,5,4,16,18,109,-29
22200583,1610612766,Hornets,CHA,Charlotte,240:00,53,102,0.52,20,48,0.417,12,19,0.632,13,36,49,32,11,3,5,17,138,29
22200586,1610612740,Pelicans,NOP,New Orleans,240:00,35,88,0.398,12,29,0.414,20,25,0.8,14,37,51,16,7,4,15,20,102,-6
22200586,1610612751,Nets,BKN,Brooklyn,240:00,37,85,0.435,15,33,0.455,19,20,0.95,10,33,43,26,8,12,12,23,108,6
