GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200281,1610612760,Thunder,OKC,Oklahoma City,265:00,44,95,0.463,7,29,0.241,28,32,0.875,10,40,50,24,7,5,13,21,123,4
22200281,1610612741,Bulls,CHI,Chicago,265:00,44,101,0.436,12,33,0.364,19,23,0.826,14,33,47,25,5,4,15,24,119,-4
22200272,1610612750,Timberwolves,MIN,Minnesota,240:00,41,96,0.427,9,41,0.22,17,18,0.944,11,34,45,24,7,9,16,27,108,-2
22200272,1610612766,Hornets,CHA,Charlotte,240:00,40,89,0.449,8,25,0.32,22,32,0.688,15,40,55,24,6,4,17,18,110,2
22200282,1610612759,Spurs,SAS,San Antonio,240:00,38,100,0.38,6,33,0.182,12,16,0.75,20,30,50,21,11,3,16,18,94,-11
22200282,1610612747,Lakers,LAL,Los Angeles,240:00,40,83,0.482,8,27,0.296,17,20,0.85,10,39,49,28,12,5,21,16,105,11
22200268,1610612760,Thunder,OKC,Oklahoma City,265:00,42,97,0.433,18,40,0.45,24,28,0.857,12,27,39,26,6,7,9,27,126,-5
22200268,1610612743,Nuggets,DEN,Denver,265:00,42,88,0.477,14,38,0.368,33,41,0.805,17,38,55,31,4,8,17,24,131,5
22200263,1610612758,Kings,SAC,Sacramento,240:00,41,89,0.461,9,31,0.29,15,21,0.714,10,38,48,27,6,2,18,23,106,-9
22200263,1610612737,Hawks,ATL,Atlanta,240:00,41,92,0.446,11,30,0.367,22,23,0.957,10,37,47,23,9,6,13,20,115,9
22200267,1610612749,Bucks,MIL,Milwaukee,240:00,41,90,0.456,12,38,0.316,19,25,0.76,11,37,48,24,5,3,19,17,113,-5
22200267,1610612741,Bulls,CHI,Chicago,240:00,43,87,0.494,18,42,0.429,14,18,0.778,5,30,35,30,9,12,13,20,118,5
22200265,1610612764,Wizards,WAS,Washington,240:00,42,89,0.472,10,38,0.263,11,19,0.579,7,36,43,27,7,5,14,20,105,-8
22200265,1610612748,Heat,MIA,Miami,240:00,39,93,0.419,16,41,0.39,19,22,0.864,14,39,53,20,7,5,12,18,113,8
22200271,1610612746,Clippers,LAC,LA,240:00,39,86,0.453,11,29,0.379,18,27,0.667,10,33,43,22,5,2,16,13,107,-17
22200271,1610612744,Warriors,GSW,Golden State,240:00,48,97,0.495,19,51,0.373,9,13,0.692,12,33,45,36,11,5,13,26,124,17
22200261,1610612757,Trail Blazers,POR,Portland,240:00,35,78,0.449,13,31,0.419,13,13,1.0,11,21,32,28,9,4,16,24,96,-18
