GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200925,1610612761,Raptors,TOR,Toronto,240:00,38,94,0.404,15,42,0.357,13,19,0.684,19,28,47,26,11,6,11,17,104,6
22200925,1610612741,Bulls,CHI,Chicago,240:00,37,71,0.521,10,25,0.4,14,17,0.824,6,29,35,28,6,7,19,18,98,-6
22200926,1610612745,Rockets,HOU,Houston,240:00,48,97,0.495,9,31,0.29,7,10,0.7,10,30,40,33,5,6,13,16,112,-21
22200926,1610612743,Nuggets,DEN,Denver,240:00,53,92,0.576,16,37,0.432,11,16,0.688,11,32,43,40,8,5,11,10,133,21
22200922,1610612753,Magic,ORL,Orlando,240:00,36,79,0.456,9,34,0.265,20,26,0.769,11,32,43,21,9,1,15,20,101,8
22200922,1610612740,Pelicans,NOP,New Orleans,240:00,34,76,0.447,6,27,0.222,19,23,0.826,9,29,38,23,9,2,17,26,93,-8
22200921,1610612752,Knicks,NYK,New York,240:00,37,78,0.474,12,31,0.387,23,34,0.676,7,37,44,20,6,3,11,11,109,15
22200921,1610612738,Celtics,BOS,Boston,240:00,37,84,0.44,9,42,0.214,11,14,0.786,7,28,35,21,5,8,11,22,94,-15
22200919,1610612765,Pistons,DET,Detroit,240:00,42,92,0.457,3,26,0.115,19,27,0.704,10,29,39,18,12,3,9,18,106,-11
22200919,1610612766,Hornets,CHA,Charlotte,240:00,43,83,0.518,13,26,0.5,18,22,0.818,7,39,46,24,8,3,16,22,117,11
22200920,1610612755,76ers,PHI,Philadelphia,240:00,32,73,0.438,10,27,0.37,25,28,0.893,9,30,39,20,7,3,18,24,99,-2
22200920,1610612748,Heat,MIA,Miami,240:00,35,81,0.432,15,37,0.405,16,22,0.727,12,25,37,21,10,3,12,20,101,2
22200913,1610612747,Lakers,LAL,Los Angeles,240:00,42,97,0.433,6,34,0.176,21,28,0.75,17,39,56,25,9,4,10,17,111,3
22200913,1610612742,Mavericks,DAL,Dallas,240:00,39,93,0.419,20,49,0.408,10,14,0.714,11,37,48,21,5,5,16,24,108,-3
22200917,1610612757,Trail Blazers,POR,Portland,240:00,42,77,0.545,20,39,0.513,27,35,0.771,6,31,37,20,7,7,13,21,131,17
22200917,1610612745,Rockets,HOU,Houston,240:00,45,100,0.45,7,26,0.269,17,25,0.68,18,30,48,24,7,2,13,26,114,-17
22200914,1610612761,Raptors,TOR,Toronto,240:00,36,93,0.387,9,25,0.36,12,15,0.8,13,30,43,19,4,4,14,16,93,-25
