GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22201154,1610612739,Cavaliers,CLE,Cleveland,Starters,180:20,36,68,0.529,12,23,0.522,9,11,0.818,1,24,25,27,2,7,9,13,93
22201154,1610612752,Knicks,NYK,New York,Starters,144:22,37,70,0.529,14,29,0.483,10,14,0.714,13,16,29,14,3,2,5,8,98
22201154,1610612739,CLE,Cleveland,cavaliers,Bench,59:40,8,18,0.444,5,14,0.357,2,2,1.0,2,6,8,6,0,2,1,8,23
22201154,1610612752,NYK,New York,knicks,Bench,95:38,12,23,0.522,3,7,0.429,5,10,0.5,3,16,19,10,3,3,2,4,32
22201148,1610612741,Bulls,CHI,Chicago,Starters,136:16,30,57,0.526,6,17,0.353,15,18,0.833,4,19,23,12,5,2,2,5,81
22201148,1610612766,Hornets,CHA,Charlotte,Starters,137:59,20,44,0.455,5,17,0.294,2,5,0.4,1,20,21,18,2,2,11,11,47
22201148,1610612741,CHI,Chicago,bulls,Bench,103:44,15,31,0.484,7,14,0.5,3,4,0.75,5,14,19,13,7,2,5,8,40
22201148,1610612766,CHA,Charlotte,hornets,Bench,102:01,15,33,0.455,9,20,0.45,5,5,1.0,3,12,15,9,1,3,10,10,44
22201160,1610612743,Nuggets,DEN,Denver,Starters,158:40,29,66,0.439,4,17,0.235,9,18,0.5,11,20,31,14,10,2,6,8,71
22201160,1610612756,Suns,PHX,Phoenix,Starters,158:30,31,63,0.492,9,21,0.429,13,17,0.765,3,24,27,22,5,2,15,12,84
22201160,1610612743,DEN,Denver,nuggets,Bench,81:20,9,29,0.31,2,9,0.222,2,2,1.0,4,16,20,5,1,3,5,8,22
22201160,1610612756,PHX,Phoenix,suns,Bench,81:30,6,25,0.24,1,6,0.167,3,4,0.75,10,14,24,6,3,5,1,4,16
22201153,1610612737,Hawks,ATL,Atlanta,Starters,145:47,23,57,0.404,3,21,0.143,9,11,0.818,8,12,20,14,5,0,6,6,58
22201153,1610612751,Nets,BKN,Brooklyn,Starters,156:33,39,63,0.619,11,22,0.5,11,13,0.846,9,25,34,25,7,3,8,10,100
22201153,1610612737,ATL,Atlanta,hawks,Bench,94:14,16,34,0.471,5,16,0.313,12,12,1.0,8,18,26,9,1,3,5,8,49
22201153,1610612751,BKN,Brooklyn,nets,Bench,83:29,10,25,0.4,4,11,0.364,0,0,0.0,0,7,7,8,2,0,4,7,24
22201157,1610612747,Lakers,LAL,Los Angeles,Starters,161:55,36,74,0.486,6,14,0.429,17,22,0.773,13,26,39,20,6,4,12,8,95
22201157,1610612750,Timberwolves,MIN,Minnesota,Starters,174:06,31,68,0.456,11,26,0.423,15,17,0.882,10,21,31,16,7,1,12,19,88
22201157,1610612747,LAL,Los Angeles,lakers,Bench,78:05,9,16,0.563,3,8,0.375,7,8,0.875,2,12,14,8,4,1,4,9,28
22201157,1610612750,MIN,Minnesota,timberwolves,Bench,65:54,10,27,0.37,2,13,0.154,1,2,0.5,2,6,8,9,3,3,4,3,23
22201152,1610612738,Celtics,BOS,Boston,Starters,151:14,29,72,0.403,11,37,0.297,19,20,0.95,8,21,29,16,7,1,8,11,88
22201152,1610612762,Jazz,UTA,Utah,Starters,156:10,31,68,0.456,5,20,0.25,13,13,1.0,11,26,37,15,1,4,11,8,80
22201152,1610612738,BOS,Boston,celtics,Bench,88:46,13,24,0.542,6,14,0.429,2,2,1.0,2,11,13,11,1,3,3,3,34
22201152,1610612762,UTA,Utah,jazz,Bench,83:50,15,28,0.536,4,9,0.444,0,1,0.0,2,13,15,8,2,3,7,9,34
22201159,1610612757,Trail Blazers,POR,Portland,Starters,140:44,27,51,0.529,9,21,0.429,12,18,0.667,7,14,21,15,6,5,13,7,75
22201159,1610612758,Kings,SAC,Sacramento,Starters,139:47,32,54,0.593,10,22,0.455,11,15,0.733,7,20,27,24,6,4,9,12,85
22201159,1610612757,POR,Portland,blazers,Bench,99:16,13,34,0.382,10,17,0.588,3,5,0.6,2,10,12,14,3,1,5,8,39
22201159,1610612758,SAC,Sacramento,kings,Bench,100:15,22,34,0.647,9,17,0.529,0,0,0.0,1,13,14,14,5,3,4,9,53
22201150,1610612755,76ers,PHI,Philadelphia,Starters,165:30,29,51,0.569,8,21,0.381,17,19,0.895,5,20,25,22,5,3,13,11,83
22201150,1610612761,Raptors,TOR,Toronto,Starters,198:04,35,71,0.493,7,22,0.318,16,21,0.762,12,19,31,26,6,2,13,17,93
22201150,1610612755,PHI,Philadelphia,sixers,Bench,74:30,12,22,0.545,4,10,0.4,6,6,1.0,4,8,12,6,2,3,3,9,34
22201150,1610612761,TOR,Toronto,raptors,Bench,41:56,7,13,0.538,1,4,0.25,2,2,1.0,2,1,3,0,0,1,0,2,17
22201151,1610612753,Magic,ORL,Orlando,Starters,146:04,32,63,0.508,6,16,0.375,16,20,0.8,5,27,32,15,0,9,7,10,86
22201151,1610612764,Wizards,WAS,Washington,Starters,152:05,28,62,0.452,12,29,0.414,8,10,0.8,11,23,34,14,3,2,4,14,76
22201151,1610612753,ORL,Orlando,magic,Bench,93:56,12,25,0.48,2,8,0.25,4,6,0.667,1,15,16,11,2,5,3,6,30
22201151,1610612764,WAS,Washington,wizards,Bench,87:55,13,43,0.302,5,21,0.238,2,2,1.0,4,13,17,10,2,3,8,10,33
22201155,1610612745,Rockets,HOU,Houston,Starters,181:32,34,65,0.523,10,26,0.385,30,41,0.732,8,26,34,15,4,4,10,21,108
22201155,1610612765,Pistons,DET,Detroit,Starters,149:50,27,59,0.458,6,22,0.273,9,11,0.818,6,13,19,17,2,5,8,20,69
22201155,1610612745,HOU,Houston,rockets,Bench,58:29,4,18,0.222,1,5,0.2,4,4,1.0,6,6,12,3,5,1,2,3,13
22201155,1610612765,DET,Detroit,pistons,Bench,90:10,16,30,0.533,5,13,0.385,9,16,0.563,7,14,21,7,5,2,4,8,46
22201158,1610612744,Warriors,GSW,Golden State,Starters,144:07,31,58,0.534,14,31,0.452,10,13,0.769,5,14,19,25,2,1,11,8,86
22201158,1610612759,Spurs,SAS,San Antonio,Starters,147:13,29,64,0.453,8,21,0.381,12,16,0.75,9,19,28,17,5,2,9,10,78
22201158,1610612744,GSW,Golden State,warriors,Bench,95:54,16,35,0.457,7,18,0.389,5,8,0.625,9,17,26,12,3,3,3,10,44
22201158,1610612759,SAS,San Antonio,spurs,Bench,92:47,13,27,0.481,7,17,0.412,4,7,0.571,5,13,18,10,3,2,4,10,37
22201149,1610612754,Pacers,IND,Indiana,Starters,150:10,26,59,0.441,8,26,0.308,7,11,0.636,14,20,34,15,1,2,7,12,67
