GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22201230,1610612744,Warriors,GSW,Golden State,Starters,106:15,25,47,0.532,14,28,0.5,5,5,1.0,4,23,27,24,7,2,9,3,69
22201230,1610612757,Trail Blazers,POR,Portland,Starters,152:41,29,71,0.408,8,27,0.296,14,17,0.824,4,15,19,24,5,1,11,6,80
22201230,1610612744,GSW,Golden State,warriors,Bench,133:45,33,49,0.673,13,21,0.619,9,11,0.818,5,26,31,23,6,4,6,15,88
22201230,1610612757,POR,Portland,blazers,Bench,87:19,9,24,0.375,1,8,0.125,2,7,0.286,2,9,11,1,0,2,3,3,21
22201222,1610612745,Rockets,HOU,Houston,Starters,132:59,26,53,0.491,2,9,0.222,17,21,0.81,5,19,24,15,3,3,9,8,71
22201222,1610612764,Wizards,WAS,Washington,Starters,165:12,25,67,0.373,12,37,0.324,8,13,0.615,13,29,42,18,7,3,8,13,70
22201222,1610612745,HOU,Houston,rockets,Bench,107:01,18,37,0.486,4,12,0.333,3,7,0.429,8,19,27,9,5,3,6,7,43
22201222,1610612764,WAS,Washington,wizards,Bench,74:48,16,30,0.533,2,8,0.25,5,8,0.625,1,8,9,10,4,2,4,8,39
22201227,1610612743,Nuggets,DEN,Denver,Starters,129:13,21,43,0.488,1,6,0.167,18,23,0.783,8,15,23,10,7,1,8,8,61
22201227,1610612758,Kings,SAC,Sacramento,Starters,100:54,28,47,0.596,10,22,0.455,4,5,0.8,6,11,17,13,2,3,6,9,70
22201227,1610612743,DEN,Denver,nuggets,Bench,110:47,21,41,0.512,6,22,0.273,0,2,0.0,7,21,28,15,4,1,8,7,48
22201227,1610612758,SAC,Sacramento,kings,Bench,139:06,9,38,0.237,1,21,0.048,6,10,0.6,4,13,17,11,5,3,9,9,25
22201228,1610612747,Lakers,LAL,Los Angeles,Starters,153:50,34,65,0.523,14,27,0.519,11,12,0.917,6,23,29,21,4,6,9,7,93
22201228,1610612762,Jazz,UTA,Utah,Starters,152:29,34,64,0.531,5,18,0.278,5,6,0.833,2,22,24,24,3,3,11,9,78
22201228,1610612747,LAL,Los Angeles,lakers,Bench,86:10,13,32,0.406,4,18,0.222,5,9,0.556,4,16,20,7,0,1,1,2,35
22201228,1610612762,UTA,Utah,jazz,Bench,87:31,17,37,0.459,5,17,0.294,0,0,0.0,5,16,21,7,1,1,0,7,39
22201223,1610612741,Bulls,CHI,Chicago,Starters,106:43,19,45,0.422,2,13,0.154,5,5,1.0,0,15,15,13,7,3,1,8,45
22201223,1610612765,Pistons,DET,Detroit,Starters,138:37,21,52,0.404,5,15,0.333,10,12,0.833,12,29,41,10,0,3,20,10,57
22201223,1610612741,CHI,Chicago,bulls,Bench,133:17,21,50,0.42,4,17,0.235,12,17,0.706,11,22,33,8,8,4,2,8,58
22201223,1610612765,DET,Detroit,pistons,Bench,101:23,10,33,0.303,4,18,0.222,0,1,0.0,3,15,18,10,1,0,4,6,24
22201221,1610612749,Bucks,MIL,Milwaukee,Starters,123:20,21,46,0.457,10,21,0.476,3,3,1.0,5,22,27,16,5,1,7,9,55
22201221,1610612761,Raptors,TOR,Toronto,Starters,124:27,27,53,0.509,8,18,0.444,9,9,1.0,2,22,24,14,3,0,5,7,71
22201221,1610612749,MIL,Milwaukee,bucks,Bench,116:40,17,36,0.472,2,13,0.154,14,18,0.778,2,9,11,12,0,1,7,4,50
22201221,1610612761,TOR,Toronto,raptors,Bench,115:33,21,42,0.5,3,15,0.2,5,7,0.714,5,16,21,15,5,2,4,12,50
22201226,1610612760,Thunder,OKC,Oklahoma City,Starters,219:31,40,80,0.5,10,29,0.345,13,16,0.813,6,40,46,29,5,1,13,16,103
