GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22200012,1610612762,UTA,Utah,jazz,Bench,112:25,24,45,0.533,8,20,0.4,12,18,0.667,5,15,20,8,5,0,4,7,68
22200001,1610612738,Celtics,BOS,Boston,Starters,160:24,33,62,0.532,9,29,0.31,17,21,0.81,3,23,26,18,5,2,9,11,92
22200001,1610612755,76ers,PHI,Philadelphia,Starters,179:59,36,67,0.537,11,28,0.393,23,26,0.885,4,26,30,14,5,2,12,17,106
22200001,1610612738,BOS,Boston,celtics,Bench,79:35,13,20,0.65,3,6,0.5,5,7,0.714,3,7,10,6,3,1,1,13,34
22200001,1610612755,PHI,Philadelphia,sixers,Bench,60:01,4,13,0.308,2,6,0.333,1,2,0.5,0,1,1,2,3,1,2,8,11
22200096,1610612758,Kings,SAC,Sacramento,Starters,145:17,22,56,0.393,8,26,0.308,19,21,0.905,7,24,31,17,4,2,9,9,71
22200096,1610612766,Hornets,CHA,Charlotte,Starters,160:23,33,63,0.524,9,20,0.45,8,12,0.667,5,25,30,21,8,4,11,14,83
22200096,1610612758,SAC,Sacramento,kings,Bench,94:43,15,29,0.517,9,18,0.5,5,7,0.714,3,8,11,9,4,2,10,10,44
22200096,1610612766,CHA,Charlotte,hornets,Bench,79:37,10,21,0.476,5,9,0.556,0,2,0.0,1,7,8,10,3,2,9,12,25
22200102,1610612745,Rockets,HOU,Houston,Starters,160:16,20,57,0.351,4,15,0.267,12,15,0.8,3,22,25,12,5,5,9,11,56
22200102,1610612746,Clippers,LAC,LA,Starters,171:01,31,67,0.463,8,29,0.276,6,9,0.667,4,32,36,19,7,7,10,12,76
22200102,1610612745,HOU,Houston,rockets,Bench,79:44,14,31,0.452,4,13,0.308,5,8,0.625,4,15,19,5,4,3,4,5,37
22200102,1610612746,LAC,LA,clippers,Bench,68:59,6,20,0.3,1,7,0.143,6,8,0.75,4,6,10,4,0,3,3,6,19
22200097,1610612755,76ers,PHI,Philadelphia,Starters,170:59,39,67,0.582,8,22,0.364,10,15,0.667,2,20,22,23,10,1,9,14,96
22200097,1610612764,Wizards,WAS,Washington,Starters,166:20,32,63,0.508,9,20,0.45,18,18,1.0,7,21,28,17,5,2,10,10,91
22200097,1610612755,PHI,Philadelphia,sixers,Bench,69:01,7,16,0.438,4,8,0.5,4,5,0.8,2,13,15,3,4,2,4,6,22
22200097,1610612764,WAS,Washington,wizards,Bench,73:40,6,18,0.333,1,5,0.2,7,8,0.875,2,11,13,5,3,2,5,8,20
22200075,1610612749,Bucks,MIL,Milwaukee,Starters,166:35,33,77,0.429,11,35,0.314,14,18,0.778,6,31,37,20,6,7,4,12,91
22200075,1610612752,Knicks,NYK,New York,Starters,141:18,19,54,0.352,5,20,0.25,20,28,0.714,9,24,33,7,2,2,9,15,63
22200075,1610612749,MIL,Milwaukee,bucks,Bench,73:27,9,32,0.281,2,10,0.2,8,9,0.889,13,10,23,3,2,1,2,11,28
22200075,1610612752,NYK,New York,knicks,Bench,98:42,18,39,0.462,7,15,0.467,2,4,0.5,4,17,21,12,4,3,3,4,45
22200058,1610612752,Knicks,NYK,New York,Starters,180:02,36,70,0.514,4,18,0.222,13,15,0.867,8,24,32,19,4,9,10,16,89
22200058,1610612766,Hornets,CHA,Charlotte,Starters,179:59,29,69,0.42,6,20,0.3,13,21,0.619,5,24,29,20,6,3,12,16,77
22200058,1610612752,NYK,New York,knicks,Bench,84:58,16,27,0.593,7,12,0.583,6,7,0.857,4,10,14,7,1,2,6,8,45
22200058,1610612766,CHA,Charlotte,hornets,Bench,85:01,20,30,0.667,7,11,0.636,7,9,0.778,4,9,13,11,3,2,3,8,54
22200036,1610612746,Clippers,LAC,LA,Starters,142:35,29,60,0.483,7,16,0.438,12,12,1.0,3,21,24,18,4,2,10,12,77
22200036,1610612758,Kings,SAC,Sacramento,Starters,152:20,27,57,0.474,9,21,0.429,13,23,0.565,6,22,28,17,4,3,6,12,76
22200036,1610612746,LAC,LA,clippers,Bench,97:28,12,21,0.571,2,6,0.333,8,10,0.8,2,14,16,6,4,1,3,9,34
22200036,1610612758,SAC,Sacramento,kings,Bench,87:40,13,28,0.464,5,14,0.357,2,3,0.667,3,8,11,7,1,2,6,9,33
22200030,1610612738,Celtics,BOS,Boston,Starters,162:26,31,67,0.463,11,34,0.324,14,17,0.824,5,21,26,17,4,4,5,12,87
22200030,1610612753,Magic,ORL,Orlando,Starters,169:32,37,78,0.474,12,27,0.444,13,19,0.684,10,26,36,17,3,3,8,14,99
22200030,1610612738,BOS,Boston,celtics,Bench,77:34,11,20,0.55,8,13,0.615,9,11,0.818,2,9,11,7,1,2,3,9,39
22200030,1610612753,ORL,Orlando,magic,Bench,70:28,8,17,0.471,3,7,0.429,2,4,0.5,2,10,12,4,2,4,1,10,21
22200008,1610612739,Cavaliers,CLE,Cleveland,Starters,151:58,26,53,0.491,5,14,0.357,15,18,0.833,5,19,24,20,5,4,13,11,72
22200008,1610612761,Raptors,TOR,Toronto,Starters,179:37,30,67,0.448,11,23,0.478,19,26,0.731,9,19,28,18,13,2,12,18,90
22200008,1610612739,CLE,Cleveland,cavaliers,Bench,88:03,12,24,0.5,5,14,0.357,4,5,0.8,1,13,14,5,0,1,4,10,33
22200008,1610612761,TOR,Toronto,raptors,Bench,60:24,6,19,0.316,2,7,0.286,4,6,0.667,3,10,13,1,2,2,1,5,18
22200002,1610612744,Warriors,GSW,Golden State,Starters,127:44,29,58,0.5,10,26,0.385,14,15,0.933,4,21,25,21,7,2,8,12,82
22200002,1610612747,Lakers,LAL,Los Angeles,Starters,155:26,32,72,0.444,5,24,0.208,16,20,0.8,8,29,37,18,10,4,15,10,85
22200002,1610612744,GSW,Golden State,warriors,Bench,112:16,16,41,0.39,6,19,0.316,3,8,0.375,7,16,23,10,4,2,10,11,41
22200002,1610612747,LAL,Los Angeles,lakers,Bench,84:34,8,22,0.364,5,16,0.313,3,5,0.6,1,10,11,5,2,0,6,8,24
