GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22200925,1610612741,Bulls,CHI,Chicago,Starters,159:23,25,48,0.521,7,19,0.368,10,13,0.769,2,16,18,19,3,4,15,13,67
22200925,1610612761,Raptors,TOR,Toronto,Starters,164:54,24,63,0.381,6,21,0.286,11,17,0.647,12,21,33,20,7,6,6,12,65
22200925,1610612741,CHI,Chicago,bulls,Bench,80:37,12,23,0.522,3,6,0.5,4,4,1.0,4,13,17,9,3,3,4,5,31
22200925,1610612761,TOR,Toronto,raptors,Bench,75:06,14,31,0.452,9,21,0.429,2,2,1.0,7,7,14,6,4,0,5,5,39
22200926,1610612743,Nuggets,DEN,Denver,Starters,133:01,36,56,0.643,10,21,0.476,6,9,0.667,9,18,27,29,4,1,10,6,88
22200926,1610612745,Rockets,HOU,Houston,Starters,133:47,27,57,0.474,5,19,0.263,2,5,0.4,3,10,13,21,3,4,6,10,61
22200926,1610612743,DEN,Denver,nuggets,Bench,106:59,17,36,0.472,6,16,0.375,5,7,0.714,2,14,16,11,4,4,1,4,45
22200926,1610612745,HOU,Houston,rockets,Bench,106:13,21,40,0.525,4,12,0.333,5,5,1.0,7,20,27,12,2,2,7,6,51
22200922,1610612740,Pelicans,NOP,New Orleans,Starters,156:31,24,54,0.444,4,19,0.211,17,20,0.85,5,16,21,17,4,2,11,20,69
22200922,1610612753,Magic,ORL,Orlando,Starters,153:49,26,50,0.52,6,22,0.273,13,16,0.813,7,22,29,14,7,1,9,10,71
22200922,1610612740,NOP,New Orleans,pelicans,Bench,83:29,10,22,0.455,2,8,0.25,2,3,0.667,4,13,17,6,5,0,6,6,24
22200922,1610612753,ORL,Orlando,magic,Bench,86:11,10,29,0.345,3,12,0.25,7,10,0.7,4,10,14,7,2,0,6,10,30
22200921,1610612738,Celtics,BOS,Boston,Starters,158:43,25,57,0.439,6,28,0.214,9,12,0.75,6,20,26,16,2,5,7,10,65
22200921,1610612752,Knicks,NYK,New York,Starters,154:14,22,52,0.423,5,19,0.263,16,26,0.615,4,27,31,13,3,3,8,6,65
22200921,1610612738,BOS,Boston,celtics,Bench,81:17,12,27,0.444,3,14,0.214,2,2,1.0,1,8,9,5,3,3,4,12,29
22200921,1610612752,NYK,New York,knicks,Bench,85:46,15,26,0.577,7,12,0.583,7,8,0.875,3,10,13,7,3,0,3,5,44
22200919,1610612765,Pistons,DET,Detroit,Starters,130:53,20,48,0.417,3,18,0.167,13,16,0.813,5,13,18,13,7,2,3,6,56
22200919,1610612766,Hornets,CHA,Charlotte,Starters,146:26,33,57,0.579,10,19,0.526,5,7,0.714,4,21,25,17,4,1,13,12,81
22200919,1610612765,DET,Detroit,pistons,Bench,109:07,22,44,0.5,0,8,0.0,6,11,0.545,5,16,21,5,5,1,6,12,50
